id,prospettiva,categoria,domanda,risposta,citazioni
20,Azienda,D.Lgs. 81/08 – Struttura,Come recepire il Titolo VI – Movimentazione manuale nella formazione specifica?,Inserisci esempi e procedure aziendali coerenti con: Regole per ridurre danni – in particolare alla schiena – durante sollevamento/spostamento.,fileciteturn3file0
21,Lavoratore,D.Lgs. 81/08 – Struttura,Cosa prevede il Titolo VII – Videoterminali?,Rischi correlati a uso prolungato del computer: postura e vista.,fileciteturn3file0
22,Azienda,D.Lgs. 81/08 – Struttura,Come recepire il Titolo VII – Videoterminali nella formazione specifica?,Inserisci esempi e procedure aziendali coerenti con: Rischi correlati a uso prolungato del computer: postura e vista.,fileciteturn3file0
23,Lavoratore,D.Lgs. 81/08 – Struttura,Cosa prevede il Titolo VIII – Agenti fisici?,"Rumore, vibrazioni, CEM, radiazioni, ecc.",fileciteturn3file0
24,Azienda,D.Lgs. 81/08 – Struttura,Come recepire il Titolo VIII – Agenti fisici nella formazione specifica?,"Inserisci esempi e procedure aziendali coerenti con: Rumore, vibrazioni, CEM, radiazioni, ecc.",fileciteturn3file0
25,Lavoratore,D.Lgs. 81/08 – Struttura,Cosa prevede il Titolo IX – Sostanze pericolose?,Gestione e uso sicuro di sostanze chimiche e tossiche.,fileciteturn3file0
26,Azienda,D.Lgs. 81/08 – Struttura,Come recepire il Titolo IX – Sostanze pericolose nella formazione specifica?,Inserisci esempi e procedure aziendali coerenti con: Gestione e uso sicuro di sostanze chimiche e tossiche.,fileciteturn3file0
27,Lavoratore,D.Lgs. 81/08 – Struttura,Cosa prevede il Titolo X – Agenti biologici?,Esposizione a microrganismi nocivi.,fileciteturn3file0
28,Azienda,D.Lgs. 81/08 – Struttura,Come recepire il Titolo X – Agenti biologici nella formazione specifica?,Inserisci esempi e procedure aziendali coerenti con: Esposizione a microrganismi nocivi.,fileciteturn3file0
29,Lavoratore,D.Lgs. 81/08 – Struttura,Cosa prevede il Titolo XI – ATEX?,Protezione da atmosfere esplosive.,fileciteturn3file0
30,Azienda,D.Lgs. 81/08 – Struttura,Come recepire il Titolo XI – ATEX nella formazione specifica?,Inserisci esempi e procedure aziendali coerenti con: Protezione da atmosfere esplosive.,fileciteturn3file0
31,Lavoratore,Luoghi di lavoro,Perché l’ordine in reparto è così importante?,"Riduce infortuni, mantiene vie di circolazione libere e migliora la gestione delle emergenze.",fileciteturn3file0
32,Azienda,Luoghi di lavoro,Come garantiamo vie di fuga sempre libere?,"Pianificazione, controlli periodici, segnaletica chiara e rimozione immediata degli ostacoli.",fileciteturn3file0
33,Lavoratore,Scale portatili,Qual è il rapporto di posizionamento della scala di appoggio?,Base posizionata a circa 1/4 dell’altezza complessiva (rapporto 1:4) su appoggio stabile e regolare.,fileciteturn3file0
34,Lavoratore,Scale portatili,Come devo salire e scendere in sicurezza?,"Sempre fronte scala, mani sui montanti, attrezzi in borsa porta-attrezzi per avere le mani libere.",fileciteturn3file0
35,Azienda,Scale portatili,Quale lunghezza deve avere la scala rispetto al piano di arrivo?,Deve superare il piano per consentire lo sbarco in sicurezza senza perdita di equilibrio.,fileciteturn3file0
36,Azienda,Lavori in quota,Come organizzare il lavoro in quota per ridurre i rischi?,Preparazione e organizzazione a terra; in quota solo attività necessarie.,fileciteturn3file0
37,Lavoratore,Lavori in quota,Quando usare corda di stazionamento o ancoraggio della scala?,Quando servono entrambe le mani o c’è rischio di scivolamento/ribaltamento: tieni la fune corta e ancora la scala a un punto fisso.,fileciteturn3file0
38,Lavoratore,DPI,Quali DPI sono sempre richiesti in attività ad alto rischio (es. edili)?,"Elmetto, guanti e calzature di sicurezza adeguate al rischio.",fileciteturn3file0
39,Azienda,DPI,Come scegliamo i DPI corretti?,"Devono essere adeguati al rischio e all’ambiente, ergonomici e compatibili se usati insieme.",fileciteturn3file0
40,Lavoratore,DPI,Quali categorie di DPI esistono?,"I Categoria (rischi minimi), II Categoria (intermedi), III Categoria (rischi gravi o mortali).",fileciteturn3file0
41,Azienda,DPI,Cosa significa marcatura CE su un DPI?,Conformità ai requisiti europei (RES); per DPI di III categoria compare anche il codice a 4 cifre dell’Organismo Notificato.,fileciteturn3file0
42,Lavoratore,DPI,Quali informazioni devono riportare i DPI?,"Marchio del fabbricante, anno di costruzione, sigla identificativa, normativa di riferimento, livello di protezione.",fileciteturn3file0
43,Azienda,DPI – Certificazione,Qual è la procedura per DPI di I categoria?,Dichiarazione di conformità CE del fabbricante.,fileciteturn3file0
44,Azienda,DPI – Certificazione,Cosa serve per DPI di II categoria?,Dichiarazione di conformità CE e attestato di certificazione rilasciato da Organismo Notificato.,fileciteturn3file0
45,Azienda,DPI – Certificazione,Quali obblighi per DPI di III categoria?,"Dichiarazione di conformità, attestato di certificazione e verifica annuale obbligatoria del prodotto.",fileciteturn3file0
46,Lavoratore,Attrezzature di lavoro,Cosa si intende per 'utilizzo prevedibile' di un’attrezzatura?,Anche usi impropri ma ragionevolmente prevedibili devono essere considerati dal costruttore per ridurre i rischi.,fileciteturn3file0
47,Azienda,Attrezzature di lavoro,Quali sono i RES che guidano progettazione e scelta delle macchine?,"Eliminazione/riduzione rischi, sicurezza nell’uso normale e prevedibile, riduzione di fatica, accessori e dispositivi adeguati.",fileciteturn3file0
48,Azienda,Attrezzature di lavoro,Quali obblighi abbiamo prima di mettere a disposizione un’attrezzatura?,"Verificare conformità e idoneità, informare/formare/addestrare, adottare misure tecniche e organizzative.",fileciteturn3file0
49,Azienda,Attrezzature di lavoro,Come gestire manutenzione e controlli?,"Manutenzione periodica, uso secondo istruzioni, registri aggiornati; uso e manutenzione solo da personale incaricato/qualificato.",fileciteturn3file0
50,Lavoratore,Segnaletica,Quali sono le principali categorie di segnali?,"Divieto (rosso/cerchio), Avvertimento (giallo/triangolo), Prescrizione (blu/cerchio), Emergenza/Salvataggio (verde), Antincendio (rosso), Informazione.",fileciteturn3file0
51,Azienda,Segnaletica,Dove vanno posizionati i cartelli di sicurezza?,"In luoghi visibili/illuminati: ingresso aree a rischio, vicino ostacoli/oggetti pericolosi o direttamente sulle attrezzature.",fileciteturn3file0
52,Lavoratore,Segnaletica,Quando un cartello va rimosso?,Quando cessa il rischio: mantenerlo creerebbe confusione.,fileciteturn3file0
53,Azienda,Segnaletica,Quali requisiti per segnali luminosi e acustici?,Luce: intensa ma non abbagliante. Suono: sopra il rumore di fondo ma senza arrecare danno; segnale distinguibile.,fileciteturn3file0
54,Lavoratore,Segnaletica,Chi esegue i segnali gestuali e con quali regole?,"Il segnalatore, con visibilità completa; interrompe se non controlla la manovra. Può usare bracciali/palette e deve indossare i DPI.",fileciteturn3file0
55,Lavoratore,MMC – Tecnica,Qual è la tecnica corretta per sollevare un carico?,"Schiena eretta, piegare le gambe, afferrare con entrambe le mani, sollevare gradualmente e tenere il carico vicino al corpo.",fileciteturn3file0
56,Lavoratore,MMC – Da evitare,Quali movimenti sono da evitare?,"Torsioni del tronco, schiena piegata a lungo, carichi lontani dal corpo o sopra le spalle.",fileciteturn3file0
57,Azienda,MMC – Ausili,Quali ausili usare secondo il peso?,2 ruote: 50–100 kg; 4 ruote: 100–250 kg; transpallet manuale: 250–500 kg.,fileciteturn3file0
58,Azienda,MMC – Organizzazione,Come gestire carichi eccessivi non divisibili?,"Sollevare in due persone, mantenere schiena eretta e presa con palmi delle mani.",fileciteturn3file0
59,Azienda,MMC – NIOSH,Cos’è il Peso Limite Raccomandato (PLR)?,"È il peso che quasi tutti i lavoratori sani possono sollevare per 8 ore in sicurezza, calcolato con fattori moltiplicativi.",fileciteturn3file0
60,Lavoratore,MMC – NIOSH,Quali sono i fattori che riducono il PLR?,"Mani troppo in basso/alto, grande dislocazione verticale, distanza orizzontale dal corpo, rotazione del tronco, presa scarsa, alta frequenza/durata.",fileciteturn3file0
61,Lavoratore,MMC – NIOSH,Che cosa indica l’Indice di Sollevamento (LI)?,LI = Peso effettivo / PLR: se >1 il rischio è alto e servono interventi immediati.,fileciteturn3file0
62,Azienda,MMC – NIOSH,Quali sono le costanti di peso di riferimento?,Uomini 18–45: 25 kg; <18 o >45: 20 kg. Donne 18–45: 20 kg (o 15 kg da EN 1005-2); <18 o >45: 15 kg.,fileciteturn3file0
63,Lavoratore,Movimenti ripetitivi,Perché i movimenti ripetitivi sono rischiosi?,"Azioni brevi ripetute per anni possono causare patologie agli arti superiori (spalle, gomiti, polsi, mani).",fileciteturn3file0
64,Azienda,Movimenti ripetitivi,Quali fattori aumentano il rischio?,"Alta ripetitività, uso forza >2 ore/turno, prese di forza/precisione, posture incongrue e impatti ripetuti.",fileciteturn3file0
65,Lavoratore,Posture,Quando una postura incongrua diventa significativa?,Se mantenuta oltre 1 ora continuativa o oltre 2 ore complessive/turno.,fileciteturn3file0
66,Azienda,Impatti ripetuti,Quando gli impatti manuali diventano critici?,Se >10 colpi/ora per almeno 2 ore complessive/turno.,fileciteturn3file0
67,Lavoratore,VDT – Rischi,Quali disturbi sono associati all’uso prolungato del VDT?,"Affaticamento muscolare (collo/spalle/schiena), lombalgie, mialgie, cefalea/emicrania e affaticamento visivo.",fileciteturn3file0
68,Azienda,VDT – Allestimento,Come deve essere lo schermo rispetto agli occhi?,"Bordo superiore allineato allo sguardo, posizione che eviti riflessi; luminosità/contrasto regolati.",fileciteturn3file0
69,Lavoratore,VDT – Buone pratiche,Ogni quanto fare pause al VDT?,"15 minuti ogni 2 ore di lavoro continuativo, con esercizi posturali e alternanza di attività.",fileciteturn3file0
70,Azienda,VDT – Sorveglianza,Quando scatta la sorveglianza sanitaria per VDT?,Per esposizione al VDT oltre 20 ore settimanali.,fileciteturn3file0
71,Azienda,VDT – Ergonomia,Quali dimensioni indicative della postazione?,Altezza tavolo 72 cm; spazio gambe: ≥28 cm in altezza e ≥36 cm in profondità; sedia regolabile e stabile.,fileciteturn3file0
72,Lavoratore,Rumore – Effetti,Quali effetti può avere il rumore sulla salute?,"Ipoacusia, acufeni, vertigini, affaticamento, mal di testa, disturbi del sonno, stress e possibili effetti cardiovascolari.",fileciteturn3file0
73,Azienda,Rumore – Valutazione,Ogni quanto ripetere le misurazioni del rischio rumore?,In genere ogni 4 anni o quando cambiano condizioni/organizzazione.,fileciteturn3file0
74,Azienda,Rumore – Limiti,"Quali sono i valori di azione/limite Lex,8h?","Valore inferiore 80 dB(A), superiore 85 dB(A), limite 87 dB(A); picco 135/137/140 dB(C).",fileciteturn3file0
75,Lavoratore,Rumore – DPI,Che obiettivo devono raggiungere i DPI uditivi?,Ridurre l’esposizione a valori ≤ 80 dB(A); sostituirli se danneggiati o inefficaci.,fileciteturn3file0
76,Azienda,Rumore – Formazione,Quando informare/formare sul rumore?,Obbligatorio per chi è esposto a rumore ≥ 80 dB(A); addestramento specifico DPI se ≥ 85 dB(A).,fileciteturn3file0
77,Azienda,Aggiornamento formazione,Possiamo concentrare le 6 ore in un solo giorno?,"Sì, è consentito svolgere tutte le ore in un’unica sessione con verifica secondo programma.",fileciteturn3file0
78,Azienda,Aggiornamento formazione,Possiamo concentrare le 6 ore in un solo giorno?,"Sì, è consentito svolgere tutte le ore in un’unica sessione con verifica secondo programma.",fileciteturn3file0
79,Azienda,Aggiornamento formazione,Possiamo concentrare le 6 ore in un solo giorno?,"Sì, è consentito svolgere tutte le ore in un’unica sessione con verifica secondo programma.",fileciteturn3file0
80,Azienda,Aggiornamento formazione,Possiamo concentrare le 6 ore in un solo giorno?,"Sì, è consentito svolgere tutte le ore in un’unica sessione con verifica secondo programma.",fileciteturn3file0
81,Azienda,Aggiornamento formazione,Possiamo concentrare le 6 ore in un solo giorno?,"Sì, è consentito svolgere tutte le ore in un’unica sessione con verifica secondo programma.",fileciteturn3file0
82,Azienda,Aggiornamento formazione,Possiamo concentrare le 6 ore in un solo giorno?,"Sì, è consentito svolgere tutte le ore in un’unica sessione con verifica secondo programma.",fileciteturn3file0
83,Lavoratore,Aggiornamento formazione,L’aggiornamento riguarda anche i rischi specifici del mio reparto?,Sì: l’aggiornamento specifico è mirato ai rischi tipici della tua mansione e attività.,fileciteturn3file0
84,Lavoratore,Aggiornamento formazione,L’aggiornamento riguarda anche i rischi specifici del mio reparto?,Sì: l’aggiornamento specifico è mirato ai rischi tipici della tua mansione e attività.,fileciteturn3file0
85,Lavoratore,Aggiornamento formazione,L’aggiornamento riguarda anche i rischi specifici del mio reparto?,Sì: l’aggiornamento specifico è mirato ai rischi tipici della tua mansione e attività.,fileciteturn3file0
86,Lavoratore,Aggiornamento formazione,L’aggiornamento riguarda anche i rischi specifici del mio reparto?,Sì: l’aggiornamento specifico è mirato ai rischi tipici della tua mansione e attività.,fileciteturn3file0
87,Lavoratore,Aggiornamento formazione,L’aggiornamento riguarda anche i rischi specifici del mio reparto?,Sì: l’aggiornamento specifico è mirato ai rischi tipici della tua mansione e attività.,fileciteturn3file0
88,Lavoratore,Aggiornamento formazione,L’aggiornamento riguarda anche i rischi specifici del mio reparto?,Sì: l’aggiornamento specifico è mirato ai rischi tipici della tua mansione e attività.,fileciteturn3file0
89,Azienda,Aggiornamento formazione,Come documentare la partecipazione a seminari o convegni?,"Con attestati che riportano contenuti, ore e verifica dell’apprendimento.",fileciteturn3file0
90,Azienda,Aggiornamento formazione,Come documentare la partecipazione a seminari o convegni?,"Con attestati che riportano contenuti, ore e verifica dell’apprendimento.",fileciteturn3file0
91,Azienda,Aggiornamento formazione,Come documentare la partecipazione a seminari o convegni?,"Con attestati che riportano contenuti, ore e verifica dell’apprendimento.",fileciteturn3file0
92,Azienda,Aggiornamento formazione,Come documentare la partecipazione a seminari o convegni?,"Con attestati che riportano contenuti, ore e verifica dell’apprendimento.",fileciteturn3file0
93,Azienda,Aggiornamento formazione,Come documentare la partecipazione a seminari o convegni?,"Con attestati che riportano contenuti, ore e verifica dell’apprendimento.",fileciteturn3file0
94,Azienda,Aggiornamento formazione,Come documentare la partecipazione a seminari o convegni?,"Con attestati che riportano contenuti, ore e verifica dell’apprendimento.",fileciteturn3file0
95,Lavoratore,Aggiornamento formazione,Perché è importante aggiornarsi?,Per restare allineati a norme e pericoli specifici e per prevenire infortuni.,fileciteturn3file0
96,Lavoratore,Aggiornamento formazione,Perché è importante aggiornarsi?,Per restare allineati a norme e pericoli specifici e per prevenire infortuni.,fileciteturn3file0
97,Lavoratore,Aggiornamento formazione,Perché è importante aggiornarsi?,Per restare allineati a norme e pericoli specifici e per prevenire infortuni.,fileciteturn3file0
98,Lavoratore,Aggiornamento formazione,Perché è importante aggiornarsi?,Per restare allineati a norme e pericoli specifici e per prevenire infortuni.,fileciteturn3file0
99,Lavoratore,Aggiornamento formazione,Perché è importante aggiornarsi?,Per restare allineati a norme e pericoli specifici e per prevenire infortuni.,fileciteturn3file0
100,Lavoratore,Aggiornamento formazione,Perché è importante aggiornarsi?,Per restare allineati a norme e pericoli specifici e per prevenire infortuni.,fileciteturn3file0
101,Lavoratore,Scale portatili,Posso trasportare oggetti in mano mentre salgo?,No: usa una borsa porta-attrezzi e mantieni entrambe le mani libere.,fileciteturn3file0
102,Lavoratore,Scale portatili,Posso trasportare oggetti in mano mentre salgo?,No: usa una borsa porta-attrezzi e mantieni entrambe le mani libere.,fileciteturn3file0
103,Lavoratore,Scale portatili,Posso trasportare oggetti in mano mentre salgo?,No: usa una borsa porta-attrezzi e mantieni entrambe le mani libere.,fileciteturn3file0
104,Lavoratore,Scale portatili,Posso trasportare oggetti in mano mentre salgo?,No: usa una borsa porta-attrezzi e mantieni entrambe le mani libere.,fileciteturn3file0
105,Lavoratore,Scale portatili,Posso trasportare oggetti in mano mentre salgo?,No: usa una borsa porta-attrezzi e mantieni entrambe le mani libere.,fileciteturn3file0
106,Lavoratore,Scale portatili,Posso trasportare oggetti in mano mentre salgo?,No: usa una borsa porta-attrezzi e mantieni entrambe le mani libere.,fileciteturn3file0
107,Lavoratore,Scale portatili,Posso trasportare oggetti in mano mentre salgo?,No: usa una borsa porta-attrezzi e mantieni entrambe le mani libere.,fileciteturn3file0
108,Lavoratore,Scale portatili,Posso trasportare oggetti in mano mentre salgo?,No: usa una borsa porta-attrezzi e mantieni entrambe le mani libere.,fileciteturn3file0
109,Lavoratore,Scale portatili,Posso trasportare oggetti in mano mentre salgo?,No: usa una borsa porta-attrezzi e mantieni entrambe le mani libere.,fileciteturn3file0
110,Lavoratore,Scale portatili,Posso trasportare oggetti in mano mentre salgo?,No: usa una borsa porta-attrezzi e mantieni entrambe le mani libere.,fileciteturn3file0
111,Azienda,Lavori in quota,Quando predisporre ancoraggi per scale?,Sempre quando esiste rischio di scivolamento/ribaltamento o servono entrambe le mani.,fileciteturn3file0
112,Azienda,Lavori in quota,Quando predisporre ancoraggi per scale?,Sempre quando esiste rischio di scivolamento/ribaltamento o servono entrambe le mani.,fileciteturn3file0
113,Azienda,Lavori in quota,Quando predisporre ancoraggi per scale?,Sempre quando esiste rischio di scivolamento/ribaltamento o servono entrambe le mani.,fileciteturn3file0
114,Azienda,Lavori in quota,Quando predisporre ancoraggi per scale?,Sempre quando esiste rischio di scivolamento/ribaltamento o servono entrambe le mani.,fileciteturn3file0
115,Azienda,Lavori in quota,Quando predisporre ancoraggi per scale?,Sempre quando esiste rischio di scivolamento/ribaltamento o servono entrambe le mani.,fileciteturn3file0
116,Azienda,Lavori in quota,Quando predisporre ancoraggi per scale?,Sempre quando esiste rischio di scivolamento/ribaltamento o servono entrambe le mani.,fileciteturn3file0
117,Azienda,Lavori in quota,Quando predisporre ancoraggi per scale?,Sempre quando esiste rischio di scivolamento/ribaltamento o servono entrambe le mani.,fileciteturn3file0
118,Azienda,Lavori in quota,Quando predisporre ancoraggi per scale?,Sempre quando esiste rischio di scivolamento/ribaltamento o servono entrambe le mani.,fileciteturn3file0
119,Azienda,Lavori in quota,Quando predisporre ancoraggi per scale?,Sempre quando esiste rischio di scivolamento/ribaltamento o servono entrambe le mani.,fileciteturn3file0
120,Azienda,Lavori in quota,Quando predisporre ancoraggi per scale?,Sempre quando esiste rischio di scivolamento/ribaltamento o servono entrambe le mani.,fileciteturn3file0
121,Lavoratore,DPI,Quando sostituire un DPI?,"Se danneggiato, scaduto o non più efficace.",fileciteturn3file0
122,Lavoratore,DPI,Quando sostituire un DPI?,"Se danneggiato, scaduto o non più efficace.",fileciteturn3file0
123,Lavoratore,DPI,Quando sostituire un DPI?,"Se danneggiato, scaduto o non più efficace.",fileciteturn3file0
124,Lavoratore,DPI,Quando sostituire un DPI?,"Se danneggiato, scaduto o non più efficace.",fileciteturn3file0
125,Lavoratore,DPI,Quando sostituire un DPI?,"Se danneggiato, scaduto o non più efficace.",fileciteturn3file0
126,Lavoratore,DPI,Quando sostituire un DPI?,"Se danneggiato, scaduto o non più efficace.",fileciteturn3file0
127,Lavoratore,DPI,Quando sostituire un DPI?,"Se danneggiato, scaduto o non più efficace.",fileciteturn3file0
128,Lavoratore,DPI,Quando sostituire un DPI?,"Se danneggiato, scaduto o non più efficace.",fileciteturn3file0
129,Lavoratore,DPI,Quando sostituire un DPI?,"Se danneggiato, scaduto o non più efficace.",fileciteturn3file0
130,Lavoratore,DPI,Quando sostituire un DPI?,"Se danneggiato, scaduto o non più efficace.",fileciteturn3file0
131,Azienda,DPI – Gestione,Quali dati deve contenere la Nota Informativa del fabbricante?,"Identificazione del DPI, istruzioni d’uso, manutenzione, limiti d’impiego e durata in relazione all’esposizione.",fileciteturn3file0
132,Azienda,DPI – Gestione,Quali dati deve contenere la Nota Informativa del fabbricante?,"Identificazione del DPI, istruzioni d’uso, manutenzione, limiti d’impiego e durata in relazione all’esposizione.",fileciteturn3file0
133,Azienda,DPI – Gestione,Quali dati deve contenere la Nota Informativa del fabbricante?,"Identificazione del DPI, istruzioni d’uso, manutenzione, limiti d’impiego e durata in relazione all’esposizione.",fileciteturn3file0
134,Azienda,DPI – Gestione,Quali dati deve contenere la Nota Informativa del fabbricante?,"Identificazione del DPI, istruzioni d’uso, manutenzione, limiti d’impiego e durata in relazione all’esposizione.",fileciteturn3file0
135,Azienda,DPI – Gestione,Quali dati deve contenere la Nota Informativa del fabbricante?,"Identificazione del DPI, istruzioni d’uso, manutenzione, limiti d’impiego e durata in relazione all’esposizione.",fileciteturn3file0
136,Azienda,DPI – Gestione,Quali dati deve contenere la Nota Informativa del fabbricante?,"Identificazione del DPI, istruzioni d’uso, manutenzione, limiti d’impiego e durata in relazione all’esposizione.",fileciteturn3file0
137,Azienda,DPI – Gestione,Quali dati deve contenere la Nota Informativa del fabbricante?,"Identificazione del DPI, istruzioni d’uso, manutenzione, limiti d’impiego e durata in relazione all’esposizione.",fileciteturn3file0
138,Azienda,DPI – Gestione,Quali dati deve contenere la Nota Informativa del fabbricante?,"Identificazione del DPI, istruzioni d’uso, manutenzione, limiti d’impiego e durata in relazione all’esposizione.",fileciteturn3file0
139,Azienda,DPI – Gestione,Quali dati deve contenere la Nota Informativa del fabbricante?,"Identificazione del DPI, istruzioni d’uso, manutenzione, limiti d’impiego e durata in relazione all’esposizione.",fileciteturn3file0
140,Azienda,DPI – Gestione,Quali dati deve contenere la Nota Informativa del fabbricante?,"Identificazione del DPI, istruzioni d’uso, manutenzione, limiti d’impiego e durata in relazione all’esposizione.",fileciteturn3file0
141,Azienda,DPI – Marcatura,Dove apporre la marcatura CE se il DPI è troppo piccolo?,"Sulla confezione del prodotto, mantenendo leggibilità e indelebilità.",fileciteturn3file0
142,Azienda,DPI – Marcatura,Dove apporre la marcatura CE se il DPI è troppo piccolo?,"Sulla confezione del prodotto, mantenendo leggibilità e indelebilità.",fileciteturn3file0
143,Azienda,DPI – Marcatura,Dove apporre la marcatura CE se il DPI è troppo piccolo?,"Sulla confezione del prodotto, mantenendo leggibilità e indelebilità.",fileciteturn3file0
144,Azienda,DPI – Marcatura,Dove apporre la marcatura CE se il DPI è troppo piccolo?,"Sulla confezione del prodotto, mantenendo leggibilità e indelebilità.",fileciteturn3file0
145,Azienda,DPI – Marcatura,Dove apporre la marcatura CE se il DPI è troppo piccolo?,"Sulla confezione del prodotto, mantenendo leggibilità e indelebilità.",fileciteturn3file0
146,Azienda,DPI – Marcatura,Dove apporre la marcatura CE se il DPI è troppo piccolo?,"Sulla confezione del prodotto, mantenendo leggibilità e indelebilità.",fileciteturn3file0
147,Azienda,DPI – Marcatura,Dove apporre la marcatura CE se il DPI è troppo piccolo?,"Sulla confezione del prodotto, mantenendo leggibilità e indelebilità.",fileciteturn3file0
148,Azienda,DPI – Marcatura,Dove apporre la marcatura CE se il DPI è troppo piccolo?,"Sulla confezione del prodotto, mantenendo leggibilità e indelebilità.",fileciteturn3file0
149,Azienda,DPI – Marcatura,Dove apporre la marcatura CE se il DPI è troppo piccolo?,"Sulla confezione del prodotto, mantenendo leggibilità e indelebilità.",fileciteturn3file0
150,Azienda,DPI – Marcatura,Dove apporre la marcatura CE se il DPI è troppo piccolo?,"Sulla confezione del prodotto, mantenendo leggibilità e indelebilità.",fileciteturn3file0
151,Lavoratore,Segnaletica,Come riconosco un segnale di divieto?,Cerchio rosso con simbolo nero barrato (es. vietato fumare).,fileciteturn3file0
152,Lavoratore,Segnaletica,Come riconosco un segnale di divieto?,Cerchio rosso con simbolo nero barrato (es. vietato fumare).,fileciteturn3file0
153,Lavoratore,Segnaletica,Come riconosco un segnale di divieto?,Cerchio rosso con simbolo nero barrato (es. vietato fumare).,fileciteturn3file0
154,Lavoratore,Segnaletica,Come riconosco un segnale di divieto?,Cerchio rosso con simbolo nero barrato (es. vietato fumare).,fileciteturn3file0
155,Lavoratore,Segnaletica,Come riconosco un segnale di divieto?,Cerchio rosso con simbolo nero barrato (es. vietato fumare).,fileciteturn3file0
156,Lavoratore,Segnaletica,Come riconosco un segnale di divieto?,Cerchio rosso con simbolo nero barrato (es. vietato fumare).,fileciteturn3file0
157,Lavoratore,Segnaletica,Come riconosco un segnale di avvertimento?,Triangolo giallo con bordo nero e simbolo nero (es. rischio scivolamento).,fileciteturn3file0
