id,prospettiva,categoria,domanda,risposta,citazioni
40,Lavoratore,Servizi/Obblighi (art.64),Quali adattamenti per lavoratori disabili?,"Adeguare porte, vie di circolazione, ascensori, scale, servizi igienici e postazioni, se necessario.",fileciteturn2file0
41,Azienda,Servizi/Obblighi (art.64),E per l’azienda: quali adattamenti per lavoratori disabili?,"Adeguare porte, vie di circolazione, ascensori, scale, servizi igienici e postazioni, se necessario. Inserisci controlli e responsabilità in procedura.",fileciteturn2file0
42,Lavoratore,Servizi/Obblighi (art.64),Cosa deve fare il datore di lavoro per vie di fuga?,Mantenerle sempre sgombre e segnalate per evacuazione rapida in ogni circostanza.,fileciteturn2file0
43,Azienda,Servizi/Obblighi (art.64),E per l’azienda: cosa deve fare il datore di lavoro per vie di fuga?,Mantenerle sempre sgombre e segnalate per evacuazione rapida in ogni circostanza. Inserisci controlli e responsabilità in procedura.,fileciteturn2file0
44,Azienda,Manutenzione/Igiene (art.65),Quali obblighi di manutenzione e pulizia ricadono sul datore di lavoro?,Manutenzione tecnica regolare di luoghi/impianti/dispositivi; eliminare rapidamente i difetti; pulizia regolare; controlli periodici dei dispositivi di sicurezza.,fileciteturn2file0
45,Lavoratore,Locali sotterranei (art.65),Quando è vietato usare locali sotterranei come luoghi di lavoro?,Vige divieto generale per locali chiusi sotterranei/semisotterranei.,fileciteturn2file0
46,Azienda,Locali sotterranei (art.65),Quando è vietato usare locali sotterranei come luoghi di lavoro?,Vige divieto generale per locali chiusi sotterranei/semisotterranei. Formalizza valutazioni e controlli specifici.,fileciteturn2file0
47,Lavoratore,Locali sotterranei (art.65),Quando è ammessa la deroga per locali sotterranei?,"Con autorizzazione formale e condizioni: aerazione, illuminazione, microclima idonei; lavorazioni senza emanazioni nocive né temperature eccessive.",fileciteturn2file0
48,Azienda,Locali sotterranei (art.65),Quando è ammessa la deroga per locali sotterranei?,"Con autorizzazione formale e condizioni: aerazione, illuminazione, microclima idonei; lavorazioni senza emanazioni nocive né temperature eccessive. Formalizza valutazioni e controlli specifici.",fileciteturn2file0
49,Lavoratore,Locali sotterranei (art.65),Cosa sono le 'particolari esigenze tecniche'?,"Condizioni indispensabili per il ciclo produttivo, senza alternative tecniche equivalenti secondo le conoscenze disponibili.",fileciteturn2file0
50,Azienda,Locali sotterranei (art.65),Cosa sono le 'particolari esigenze tecniche'?,"Condizioni indispensabili per il ciclo produttivo, senza alternative tecniche equivalenti secondo le conoscenze disponibili. Formalizza valutazioni e controlli specifici.",fileciteturn2file0
51,Lavoratore,Microclima,Quali parametri determinano il benessere microclimatico?,"Temperatura secca/umida, temperatura radiante, umidità relativa, velocità dell’aria, attività metabolica, isolamento dell’abbigliamento.",fileciteturn2file0
52,Azienda,Microclima,Come gestiamo: quali parametri determinano il benessere microclimatico?,"Temperatura secca/umida, temperatura radiante, umidità relativa, velocità dell’aria, attività metabolica, isolamento dell’abbigliamento.",fileciteturn2file0
53,Lavoratore,Microclima,Perché le celle frigorifere sono 'ambienti severi'?,"Temperature molto basse, aria quasi ferma e parametri termoigrometrici severi → servono misure specifiche.",fileciteturn2file0
54,Azienda,Microclima,Come gestiamo: perché le celle frigorifere sono 'ambienti severi'?,"Temperature molto basse, aria quasi ferma e parametri termoigrometrici severi → servono misure specifiche.",fileciteturn2file0
55,Lavoratore,Microclima,Cosa deve fare il datore di lavoro sul microclima?,"Progettare/gestire edificio e impianti per mantenere condizioni di benessere (isolamento, schermature, ventilazione, regolazione termoigrometrica).",fileciteturn2file0
56,Azienda,Microclima,Come gestiamo: cosa deve fare il datore di lavoro sul microclima?,"Progettare/gestire edificio e impianti per mantenere condizioni di benessere (isolamento, schermature, ventilazione, regolazione termoigrometrica).",fileciteturn2file0
57,Lavoratore,Microclima,Quando intervenire sull’abbigliamento?,Solo come extrema ratio in ambienti moderati; non usarlo come principale strumento di controllo.,fileciteturn2file0
58,Azienda,Microclima,Come gestiamo: quando intervenire sull’abbigliamento?,Solo come extrema ratio in ambienti moderati; non usarlo come principale strumento di controllo.,fileciteturn2file0
59,Lavoratore,Aerazione/Temperatura/Umidità,Come garantire aria salubre nei locali chiusi?,"Preferisci ventilazione naturale; in alternativa usa impianti di aerazione mantenuti, puliti e sanificati.",fileciteturn2file0
60,Azienda,Aerazione/Temperatura/Umidità,Criteri aziendali: come garantire aria salubre nei locali chiusi?,"Preferisci ventilazione naturale; in alternativa usa impianti di aerazione mantenuti, puliti e sanificati. Pianifica manutenzioni e monitoraggi.",fileciteturn2file0
61,Lavoratore,Aerazione/Temperatura/Umidità,Cosa evitare con la ventilazione meccanica?,Correnti d’aria fastidiose; regola condizionamento/ventilazione perché non colpiscano direttamente gli operatori.,fileciteturn2file0
62,Azienda,Aerazione/Temperatura/Umidità,Criteri aziendali: cosa evitare con la ventilazione meccanica?,Correnti d’aria fastidiose; regola condizionamento/ventilazione perché non colpiscano direttamente gli operatori. Pianifica manutenzioni e monitoraggi.,fileciteturn2file0
63,Lavoratore,Aerazione/Temperatura/Umidità,Come gestire la temperatura dei locali?,"Adeguarla al tipo di mansione e sforzo; se non modificabile, proteggere con misure tecniche locali e DPI (indumenti termici).",fileciteturn2file0
64,Azienda,Aerazione/Temperatura/Umidità,Criteri aziendali: come gestire la temperatura dei locali?,"Adeguarla al tipo di mansione e sforzo; se non modificabile, proteggere con misure tecniche locali e DPI (indumenti termici). Pianifica manutenzioni e monitoraggi.",fileciteturn2file0
65,Lavoratore,Aerazione/Temperatura/Umidità,Come controllare l’umidità nelle lavorazioni umide?,Evitare formazione di nebbia e mantenere temperatura/umidità in valori compatibili con esigenze tecniche e sicurezza.,fileciteturn2file0
66,Azienda,Aerazione/Temperatura/Umidità,Criteri aziendali: come controllare l’umidità nelle lavorazioni umide?,Evitare formazione di nebbia e mantenere temperatura/umidità in valori compatibili con esigenze tecniche e sicurezza. Pianifica manutenzioni e monitoraggi.,fileciteturn2file0
67,Lavoratore,Condizionamento/Illuminazione,Quali sono i parametri invernali consigliati (uffici)?,"Temperatura 18–20 °C; umidità 40–60%; velocità aria ≤0,15 m/s.",fileciteturn2file0
68,Azienda,Condizionamento/Illuminazione,Standard interni: quali sono i parametri invernali consigliati (uffici)?,"Temperatura 18–20 °C; umidità 40–60%; velocità aria ≤0,15 m/s. Mantieni superfici vetrate e corpi illuminanti puliti ed efficienti.",fileciteturn2file0
69,Lavoratore,Condizionamento/Illuminazione,Quali sono i parametri estivi consigliati?,"ΔT interno‑esterno ≤7 °C; umidità 40–50%; velocità aria ≤0,25 m/s.",fileciteturn2file0
70,Azienda,Condizionamento/Illuminazione,Standard interni: quali sono i parametri estivi consigliati?,"ΔT interno‑esterno ≤7 °C; umidità 40–50%; velocità aria ≤0,25 m/s. Mantieni superfici vetrate e corpi illuminanti puliti ed efficienti.",fileciteturn2file0
71,Lavoratore,Condizionamento/Illuminazione,Cos’è una 'superficie illuminante'?,Porzione utile di finestre e porte‑finestre verso l’esterno; porte/portoni opachi non lo sono anche se aperti parte della giornata.,fileciteturn2file0
72,Azienda,Condizionamento/Illuminazione,Standard interni: cos’è una 'superficie illuminante'?,Porzione utile di finestre e porte‑finestre verso l’esterno; porte/portoni opachi non lo sono anche se aperti parte della giornata. Mantieni superfici vetrate e corpi illuminanti puliti ed efficienti.,fileciteturn2file0
73,Lavoratore,Condizionamento/Illuminazione,A cosa serve l’illuminazione di sicurezza?,A garantire visibilità sufficiente per percorrere le vie di fuga in sicurezza.,fileciteturn2file0
74,Azienda,Condizionamento/Illuminazione,Standard interni: a cosa serve l’illuminazione di sicurezza?,A garantire visibilità sufficiente per percorrere le vie di fuga in sicurezza. Mantieni superfici vetrate e corpi illuminanti puliti ed efficienti.,fileciteturn2file0
75,Lavoratore,UNI EN 12464‑1 (Illuminamento),Quanti lux servono per: Uffici – scrittura/lettura/dattilografia/elaborazione dati?,500 lx raccomandati dalla UNI EN 12464‑1.,fileciteturn2file0
76,Azienda,UNI EN 12464‑1 (Illuminamento),Qual è il livello di illuminamento per uffici – scrittura/lettura/dattilografia/elaborazione dati?,500 lx come valore guida; mantenere uniformità e limitare abbagliamento.,fileciteturn2file0
77,Lavoratore,UNI EN 12464‑1 (Illuminamento),Quanti lux servono per: Uffici – archiviazione/copiatura?,300 lx raccomandati dalla UNI EN 12464‑1.,fileciteturn2file0
78,Azienda,UNI EN 12464‑1 (Illuminamento),Qual è il livello di illuminamento per uffici – archiviazione/copiatura?,300 lx come valore guida; mantenere uniformità e limitare abbagliamento.,fileciteturn2file0
79,Lavoratore,UNI EN 12464‑1 (Illuminamento),Quanti lux servono per: Uffici – disegno tecnico?,750 lx raccomandati dalla UNI EN 12464‑1.,fileciteturn2file0
80,Azienda,UNI EN 12464‑1 (Illuminamento),Qual è il livello di illuminamento per uffici – disegno tecnico?,750 lx come valore guida; mantenere uniformità e limitare abbagliamento.,fileciteturn2file0
81,Lavoratore,UNI EN 12464‑1 (Illuminamento),Quanti lux servono per: Corridoi/aree di circolazione?,100 lx raccomandati dalla UNI EN 12464‑1.,fileciteturn2file0
82,Azienda,UNI EN 12464‑1 (Illuminamento),Qual è il livello di illuminamento per corridoi/aree di circolazione?,100 lx come valore guida; mantenere uniformità e limitare abbagliamento.,fileciteturn2file0
83,Lavoratore,UNI EN 12464‑1 (Illuminamento),Quanti lux servono per: Scale/ascensori/tappeti mobili?,150 lx raccomandati dalla UNI EN 12464‑1.,fileciteturn2file0
84,Azienda,UNI EN 12464‑1 (Illuminamento),Qual è il livello di illuminamento per scale/ascensori/tappeti mobili?,150 lx come valore guida; mantenere uniformità e limitare abbagliamento.,fileciteturn2file0
85,Lavoratore,UNI EN 12464‑1 (Illuminamento),Quanti lux servono per: Guardaroba/bagni/toilette?,200 lx raccomandati dalla UNI EN 12464‑1.,fileciteturn2file0
86,Azienda,UNI EN 12464‑1 (Illuminamento),Qual è il livello di illuminamento per guardaroba/bagni/toilette?,200 lx come valore guida; mantenere uniformità e limitare abbagliamento.,fileciteturn2file0
87,Lavoratore,UNI EN 12464‑1 (Illuminamento),Quanti lux servono per: Magazzini/aree di stoccaggio (occupati continuamente)?,200 lx raccomandati dalla UNI EN 12464‑1.,fileciteturn2file0
88,Azienda,UNI EN 12464‑1 (Illuminamento),Qual è il livello di illuminamento per magazzini/aree di stoccaggio (occupati continuamente)?,200 lx come valore guida; mantenere uniformità e limitare abbagliamento.,fileciteturn2file0
89,Lavoratore,UNI EN 12464‑1 (Illuminamento),Quanti lux servono per: Aree di trasporto/imballaggio/spedizione?,300 lx raccomandati dalla UNI EN 12464‑1.,fileciteturn2file0
90,Azienda,UNI EN 12464‑1 (Illuminamento),Qual è il livello di illuminamento per aree di trasporto/imballaggio/spedizione?,300 lx come valore guida; mantenere uniformità e limitare abbagliamento.,fileciteturn2file0
91,Lavoratore,UNI EN 12464‑1 (Illuminamento),Quanti lux servono per: Impianti di processo con presenza continua?,300 lx raccomandati dalla UNI EN 12464‑1.,fileciteturn2file0
92,Azienda,UNI EN 12464‑1 (Illuminamento),Qual è il livello di illuminamento per impianti di processo con presenza continua?,300 lx come valore guida; mantenere uniformità e limitare abbagliamento.,fileciteturn2file0
93,Lavoratore,UNI EN 12464‑1 (Illuminamento),Quanti lux servono per: Vendita al dettaglio – aree di vendita?,300 lx raccomandati dalla UNI EN 12464‑1.,fileciteturn2file0
94,Azienda,UNI EN 12464‑1 (Illuminamento),Qual è il livello di illuminamento per vendita al dettaglio – aree di vendita?,300 lx come valore guida; mantenere uniformità e limitare abbagliamento.,fileciteturn2file0
95,Lavoratore,UNI EN 12464‑1 (Illuminamento),Quanti lux servono per: Vendita al dettaglio – casse?,500 lx raccomandati dalla UNI EN 12464‑1.,fileciteturn2file0
96,Azienda,UNI EN 12464‑1 (Illuminamento),Qual è il livello di illuminamento per vendita al dettaglio – casse?,500 lx come valore guida; mantenere uniformità e limitare abbagliamento.,fileciteturn2file0
97,Lavoratore,UNI EN 12464‑1 (Illuminamento),Quanti lux servono per: Ristoranti/hotel – reception/cassa/portineria?,300 lx raccomandati dalla UNI EN 12464‑1.,fileciteturn2file0
98,Azienda,UNI EN 12464‑1 (Illuminamento),Qual è il livello di illuminamento per ristoranti/hotel – reception/cassa/portineria?,300 lx come valore guida; mantenere uniformità e limitare abbagliamento.,fileciteturn2file0
99,Lavoratore,UNI EN 12464‑1 (Illuminamento),Quanti lux servono per: Ristoranti/hotel – cucina?,500 lx raccomandati dalla UNI EN 12464‑1.,fileciteturn2file0
100,Azienda,UNI EN 12464‑1 (Illuminamento),Qual è il livello di illuminamento per ristoranti/hotel – cucina?,500 lx come valore guida; mantenere uniformità e limitare abbagliamento.,fileciteturn2file0
101,Lavoratore,Attrezzature di lavoro,Cosa si intende per 'attrezzatura di lavoro' (art. 69)?,"Qualsiasi macchina, apparecchio, utensile o impianto destinato a essere usato durante il lavoro.",fileciteturn2file0
102,Azienda,Attrezzature di lavoro,Come assicuriamo: cosa si intende per 'attrezzatura di lavoro' (art. 69)?,"Qualsiasi macchina, apparecchio, utensile o impianto destinato a essere usato durante il lavoro. Definisci procedure e formazione.",fileciteturn2file0
103,Lavoratore,Attrezzature di lavoro,Quali fasi rientrano nell'uso di un’attrezzatura?,"Messa in servizio/fuori servizio, impiego, trasporto, riparazione, trasformazione, manutenzione, pulizia, smontaggio.",fileciteturn2file0
104,Azienda,Attrezzature di lavoro,Come assicuriamo: quali fasi rientrano nell'uso di un’attrezzatura?,"Messa in servizio/fuori servizio, impiego, trasporto, riparazione, trasformazione, manutenzione, pulizia, smontaggio. Definisci procedure e formazione.",fileciteturn2file0
105,Lavoratore,Attrezzature di lavoro,Cos’è una 'zona pericolosa'?,Area in cui la presenza di un lavoratore costituisce rischio per salute e sicurezza; include spazi interni/esterni alla macchina.,fileciteturn2file0
106,Azienda,Attrezzature di lavoro,Come assicuriamo: cos’è una 'zona pericolosa'?,Area in cui la presenza di un lavoratore costituisce rischio per salute e sicurezza; include spazi interni/esterni alla macchina. Definisci procedure e formazione.,fileciteturn2file0
107,Lavoratore,Attrezzature di lavoro,Chi è il 'lavoratore esposto'?,"Chi si trova, anche in parte, in una zona pericolosa.",fileciteturn2file0
108,Azienda,Attrezzature di lavoro,Come assicuriamo: chi è il 'lavoratore esposto'?,"Chi si trova, anche in parte, in una zona pericolosa. Definisci procedure e formazione.",fileciteturn2file0
109,Lavoratore,Attrezzature di lavoro,Quali sono gli obblighi del datore (art. 71)?,"Valutare idoneità all’uso reale, oltre a marchiatura; adottare misure tecniche/organizzative conformi all’All. VI.",fileciteturn2file0
110,Azienda,Attrezzature di lavoro,Come assicuriamo: quali sono gli obblighi del datore (art. 71)?,"Valutare idoneità all’uso reale, oltre a marchiatura; adottare misure tecniche/organizzative conformi all’All. VI. Definisci procedure e formazione.",fileciteturn2file0
111,Lavoratore,Rischio meccanico,Cosa significa: Schiacciamento?,Contatto/avvicinamento di due parti in movimento che possono schiacciare corpo o arti.,fileciteturn2file0
112,Azienda,Rischio meccanico,Come prevenire: schiacciamento?,"Ripari fissi/mobili, procedure sicure, formazione, manutenzione, aspirazione trucioli e segnaletica.",fileciteturn2file0
113,Lavoratore,Rischio meccanico,Cosa significa: Cesoiamento?,Effetto 'forbice' di due elementi in moto che possono tagliare/amputare.,fileciteturn2file0
114,Azienda,Rischio meccanico,Come prevenire: cesoiamento?,"Ripari fissi/mobili, procedure sicure, formazione, manutenzione, aspirazione trucioli e segnaletica.",fileciteturn2file0
115,Lavoratore,Rischio meccanico,Cosa significa: Impigliamento?,Capelli/abiti/accessori si intrappolano in parti in movimento trascinando la persona.,fileciteturn2file0
116,Azienda,Rischio meccanico,Come prevenire: impigliamento?,"Ripari fissi/mobili, procedure sicure, formazione, manutenzione, aspirazione trucioli e segnaletica.",fileciteturn2file0
117,Lavoratore,Rischio meccanico,Cosa significa: Trascinamento?,Parte in movimento spinge o trascina il lavoratore.,fileciteturn2file0
118,Azienda,Rischio meccanico,Come prevenire: trascinamento?,"Ripari fissi/mobili, procedure sicure, formazione, manutenzione, aspirazione trucioli e segnaletica.",fileciteturn2file0
119,Lavoratore,Rischio meccanico,Cosa significa: Urto con parti in movimento?,Possibile in prossimità di organi meccanici in funzione.,fileciteturn2file0
120,Azienda,Rischio meccanico,Come prevenire: urto con parti in movimento?,"Ripari fissi/mobili, procedure sicure, formazione, manutenzione, aspirazione trucioli e segnaletica.",fileciteturn2file0
121,Lavoratore,Rischio meccanico,Cosa significa: Abrasione?,"Sfregamento su superfici ruvide, anche dopo cadute/urti.",fileciteturn2file0
122,Azienda,Rischio meccanico,Come prevenire: abrasione?,"Ripari fissi/mobili, procedure sicure, formazione, manutenzione, aspirazione trucioli e segnaletica.",fileciteturn2file0
123,Lavoratore,Rischio meccanico,Cosa significa: Intrappolamento?,Persona bloccata nella zona di lavoro della macchina.,fileciteturn2file0
124,Azienda,Rischio meccanico,Come prevenire: intrappolamento?,"Ripari fissi/mobili, procedure sicure, formazione, manutenzione, aspirazione trucioli e segnaletica.",fileciteturn2file0
125,Lavoratore,Rischio meccanico,Cosa significa: Proiezione di fluidi in pressione?,Oli/lubrorefrigeranti ad alta pressione.,fileciteturn2file0
126,Azienda,Rischio meccanico,Come prevenire: proiezione di fluidi in pressione?,"Ripari fissi/mobili, procedure sicure, formazione, manutenzione, aspirazione trucioli e segnaletica.",fileciteturn2file0
127,Lavoratore,Rischio meccanico,Cosa significa: Proiezione di materiali?,Schegge/trucioli/frammenti dalle lavorazioni.,fileciteturn2file0
128,Azienda,Rischio meccanico,Come prevenire: proiezione di materiali?,"Ripari fissi/mobili, procedure sicure, formazione, manutenzione, aspirazione trucioli e segnaletica.",fileciteturn2file0
129,Lavoratore,Rischio meccanico,Cosa significa: Perdita di stabilità macchina?,Ribaltamento di macchine mobili o fisse con forti vibrazioni.,fileciteturn2file0
130,Azienda,Rischio meccanico,Come prevenire: perdita di stabilità macchina?,"Ripari fissi/mobili, procedure sicure, formazione, manutenzione, aspirazione trucioli e segnaletica.",fileciteturn2file0
131,Lavoratore,Rischio meccanico,Cosa significa: Contatti elettrici?,Rischio di folgorazione da parti elettriche a bordo macchina.,fileciteturn2file0
132,Azienda,Rischio meccanico,Come prevenire: contatti elettrici?,"Ripari fissi/mobili, procedure sicure, formazione, manutenzione, aspirazione trucioli e segnaletica.",fileciteturn2file0
133,Lavoratore,Rischio meccanico,Cosa significa: Ustione?,Contatto con superfici calde.,fileciteturn2file0
134,Azienda,Rischio meccanico,Come prevenire: ustione?,"Ripari fissi/mobili, procedure sicure, formazione, manutenzione, aspirazione trucioli e segnaletica.",fileciteturn2file0
135,Lavoratore,Manuale d’uso,Cosa deve contenere il manuale d’istruzioni di una macchina?,"Marcature, condizioni d’uso, posti di lavoro, istruzioni per messa in funzione/uso/trasporto/installazione/montaggio/manutenzione/riparazione/addestramento e utensili ammessi; traduzione nella lingua del paese.",fileciteturn2file0
136,Azienda,Manuale d’uso,Come verifichiamo i manuali del fornitore?,"Richiedi manuale completo, schemi per avviamento/manutenzione/controlli, avvertenze di sicurezza; rendilo disponibile ai lavoratori.",fileciteturn2file0
137,Lavoratore,Scale portatili,Quando una scala è 'portatile'?,Quando può essere trasportata e installata a mano senza mezzi meccanici.,fileciteturn2file0
138,Azienda,Scale portatili,Politica interna: quando una scala è 'portatile'?,Quando può essere trasportata e installata a mano senza mezzi meccanici.,fileciteturn2file0
